edicion lolla ,artista ,genero musical 01,genero musical 02,genero musical 03,integrantes,nacionalidad,headliner,escenario,veces en lollapalooza
2025,Alanis Morissette,Pop rock,Rock alternativo,NA,1,Canadiense-Estadounidense,Sí,Banco de Chile Stage,1
2025,Chances,Post-hardcore,Metal alternativo,Rock alternativo,5,Chilena,No,Banco de Chile Stage,1
2025,Arde Bogotá,Rock alternativo,Indie rock,NA,4,Española,No,Banco de Chile Stage,1
2025,Inhaler,Indie rock,Rock alternativo,Post punk,4,Irlandesa,No,Banco de Chile Stage,1
2025,Tate Mcrae,Pop,Pop alternativo,Dance pop,1,Canadiense,No,Banco de Chile Stage,1
2025,Shawn Mendes,Pop,Folk pop,Pop rock,1,Canadiense,Sí,Banco de Chile Stage,1
2025,Balthvs,Funk psicodélico,Soul,House,3,Colombiana,No,Smart Fit Stage,1
2025,Marina Reche,Pop contemporáneo,R&B,Electrónica,1,Española,No,Smart Fit Stage,1
2025,LospetitFellas,Hip hop,Rock,Funk,6,Colombiana,No,Smart Fit Stage,1
2025,Michael Kiwanuka,Indie rock,Folk rock,Soul,1,Británica,No,Smart Fit Stage,1
2025,Caribou,Electrónica,Indie pop,Psicodelia,1,Canadiense,No,Smart Fit Stage,2
2025,Confío en tus amigos,Indie punk,Garage rock,Slacker rock,4,Chilena,No,Smart Fit Stage,1
2025,Pablopablo,R&B,Indie rock,Dream pop,1,Española,No,Smart Fit Stage,1
2025,Francisco Victoria,Pop ,NA,NA,1,Chilena,No,Smart Fit Stage,3
2025,Ca7riel & Paco Amoroso,Trap latino,Hip house,Pop latino,2,Argentina,No,Smart Fit Stage,1
2025,Lara Project,Pop latino,R&B,Urbano,2,Venezolana,No,Smart Fit Stage,1
2025,Mon Laferte,Bolero,Indie pop,Pop rock,1,Chilena,No,Smart Fit Stage,2
2025,Candelabro,Art rock,Rock alternativo,Nerd rock,7,Chilena,No,Smart Fit Stage,2
2025,Israel Vibration & Roots Radics,Reggae,Dancehall,Roots reggae,2,Jamaicana,No,Smart Fit Stage,1
2025,Cancamusa,Indie,Dream pop,Rock alternativo,1,Chilena,No,Smart Fit Stage,1
2025,Artemas,Pop ,Pop alternativo,Dark wave,1,Británica,No,Smart Fit Stage,1
2025,Wave to earth,Rock indie,Indie pop,NA,3,Coreana,No,Smart Fit Stage,1
2025,Sepultura,Thrash metal,Death metal,Groove metal,4,Brasileña,No,Smart Fit Stage,1
2025,Teddy Swims,Country ,Pop,Soul,1,Estadounidense,No,Smart Fit Stage,1
2025,Abrildefresa,Afrobeat,R&B,Pop,1,Chilena,No,Perry's Stage,1
2025,Dezko,House,Deep house,Tech house,1,Colombiana,No,Perry's Stage,1
2025,Taichu,Trap,NA,NA,1,Argentina,No,Perry's Stage,2
2025,Polimá Westcoast,Pop rap,House,Trap latino,1,Chilena,No,Perry's Stage,3
2025,L-Gante,RKT,Trap,Reguetón,1,Argentina,No,Perry's Stage,2
2025,Disco Lines,Future bass,Deep house,Trap,1,Estadounidense,No,Perry's Stage,1
2025,JPEGMafia,Hip hop,Punk rap,Trap metal,1,Estadounidense,No,Perry's Stage,1
2025,KYA,Pop ,Urbano,Funk,1,Chilena,No,Perry's Stage,1
2025,El Malilla,Reguetón mexa,NA,NA,1,Mexicana,No,Perry's Stage,1
2025,Aron,Trap ,Reggae-pop,Pop,1,Española,No,Perry's Stage,1
2025,Hortadoj,Hip hop,Underground rap,Bolero,1,Chilena,No,Perry's Stage,1
2025,Wen bros Cestar & Stailok,Dancehall,Rap ,Reggae,2,Chilena,No,Perry's Stage,1
2025,Drefquila,Trap latino,Reguetón,R&B,1,Chilena,No,Perry's Stage,3
2025,Barry Can't Swim,House,Jazz,Afrobeat,1,Escocesa,No,Perry's Stage,1
2025,Blond:Ish,Afrohouse,Organic house,Deep house,1,Canadiense,No,Perry's Stage,1
2025,Charlotte de Witte,Techno,Trance,Acid techno,1,Belga,No,Perry's Stage,1
2025,Killua97,Trap,Rap ,NA,1,Chilena,No,Perry's Stage,1
2025,Kuina,Reguetón,Trap,Pop alternativo,1,Chilena,No,Perry's Stage,1
2025,Reality,Trap ,Drill,Rap,1,Española,No,Perry's Stage,1
2025,Red Bull Batalla,Freestyle,NA,NA,NA,Múltiple,No,Perry's Stage,4
2025,Micro TDH,Hip hop,Trap latino,Dance pop,1,Venezolana,No,Perry's Stage,2
2025,Dillom,Hip hop latino,Indie pop,Trap latino,1,Argentina,No,Perry's Stage,2
2025,Ovy On The Drums,Reguetón,Pop urbano,R&B,1,Colombiana,No,Perry's Stage,1
2025,Kasablanca,Techno,Progressive house,Synthwave,2,Canadiense,No,Perry's Stage,1
2025,San Holo,Trap,Future bass,NA,1,Neerlandesa,No,Perry's Stage,2
2025,Zedd,Electrónica,Dance pop,House,1,Rusa,No,Perry's Stage,3
2026,The Warning,Hard rock,Rock alternativo,Post grunge,3,Mexicana,No,Cenco Malls Stage,1
2026,Gepe,Pop,Electropop,Rock alternativo,1,Chilena,No,Cenco Malls Stage,4
2026,Ruel,Pop ,Soul,Electrónica,1,Británica-Australiana,No,Cenco Malls Stage,1
2026,Doechii,Hip hop,R&B,Pop rap,1,Estadounidense,Sí,Cenco Malls Stage,1
2026,Sabrina Carpenter,Pop ,Dance pop,R&B,1,Estadounidense,Sí,Cenco Malls Stage,1
2026,Zaturno,Rap ,Hip hop,NA,1,Chilena,No,Cenco Malls Stage,4
2026,Candelabro,Art rock,Rock alternativo,Nerd rock,7,Chilena,No,Cenco Malls Stage,2
2026,DJO,Synth pop,Indie pop,Indie rock,1,Estadounidense,No,Cenco Malls Stage,1
2026,Turnstile,Hardcore punk,Rock alternativo,Hardcore melódico,5,Estadounidense,Sí,Cenco Malls Stage,2
2026,"Tyler, The Creator",Rap alternativo,R&B,Hip hop,1,Estadounidense,Sí,Cenco Malls Stage,1
